word,corrected
maksudku,maksud ku
muak,muak
dosponsori,di sponsori
ketik,ketik
diharapkan,di harapkan
pelican,pelikan
suam,suam
maaftai,maaf tai
handal,handal
sikapnya,sikap nya
kegelisahan,kegelisahan
boongan,bohongan
hirup,hirup
dew,dew
solving,penyelesaian
gor,gedung olah raga
tq,terima kasih
calonpenghunineraka,calon penghuni neraka
shortmovie,film pendek
balbalan,sepak bola
adem,adem
huhu,huhu
mengenyam,mengenyam
mmbela,membela
lihatin,lihatin
persoalan,persoalan
melampiaskan,melampiaskan
smg,semoga
creepy,seram
teriris,teriris
memaksanya,memaksa nya
terbuang,terbuang
awalan,awalan
carfreedaycirebon,car free day cirebon
kaliya,kali ya
hiih,hiih
firstladyindonesia,first lady indonesia
dalamhati,dalam hati
kemudiam,kemudian
prob,problem
dena,dena
berbaik,berbaik
logonya,logo nya
kemuliaan,kemuliaan
vas,vas
atit,sakit
advokat,advokat
atiii,hati
ati,hati
emoshi,emosi
mmbukit,membukit
agamanya,agama nya
ademnya,adem nya
nandingin,menandingi
kusiapkan,ku siapkan
box,boks
pinterpejuang,pinter pejuang
sosis,sosis
francey,francey
kepemimpinan,kepemimpinan
siasia,sia sia
merawat,merawat
kassy,kassy
priyonggo,priyonggo
keknyaa,sepertinya
memprovokasi,memprovokasi
congratulations,selamat
pekerjaannya,pekerjaan nya
transparansi,transparansi
kasir,kasir
hakiki,hakiki
wijen,wijen
pms,premenstrual syndrome
kerajinan,kerajinan
keterbukaan,kertebukaan
shop,toko
cui,cui
bersedia,bersedia
forisa,forisa
diperlakukan,diperlakukan
ngalamain,ngalamin
dustakan,dustakan
dibunderin,dibunderin
menengah,menengah
pinter,pintar
nakutin,menakutkan
rubah,rubah
skripsi,skripsi
dirinya,dirinya
lhp,laporan hasil pemeriksaan
dirasakn,dirasakan
kliyengan,pusing
menggenapkan,menggenapkan
lovelaws,lovelaws
menjabat,menjabat
lahh,lah
dipercepat,dipercepat
surprised,terkejut
cebong,cebong
berisi,berisi
jantungku,jantung ku
vote,memilih
gembrong,gembrong
terpatri,terpatri
oo,Oh
kill,kill
internya,internet nya
favorit,favorit
versiku,versi ku
karir,karir
soan,sok an
semoga,semoga
ditempelin,ditempelin
fine,fine
skg,sekarang
satpam,satpam
gosong,gosong
gasukak,tidak suka
choi,choi
ngidul,ngidul
gempol,gempol
ambulance,ambulans
statemenya,pernyataan nya
uns,uns
bo,bo
pda,pada
terserahlah,terserahlah
sayyidina,sayyidina
terusmenerus,terus menerus
konsumen,konsumen
dmnya,dimana nya
milenial,milenial
ppkn,ppkn
cengeng,cengeng
his,his
telek,tai
mawadah,mawaddah
nyebelin,menyebalkan
diumbar,di umbar
dksh,di kasih
dimata,di mata
fee,fee
balesannya,balasan nya
ngebahas,membahas
gaming,bermain
jampejampe,jampe jampe
antri,antre
berpakaiannya,berpakaian nya
negaranya,negara nya
pixy,pixy
dikatain,di katain
influence,influence
berantah,berantah
kantorku,kantor ku
cawapres,calon wakil presiden
blas,blas
dikasir,di kasir
bermesrahan,bermesraan
bolak,bolak
star,star
kua,kantor urusan agama
membela,membela
menjilat,menjilat
bbq,bbq
goresan,goresan
fitur,fitur
lillahi,lillahi
notice,sadar
serandom,serandom
congraduation,selamat lulus
menuangkanya,menuangkan nya
tidaksuka,tidak suka
rsv,rsv
tunjukkan,tunjukkan
lwat,lewat
beribadahnya,beribadah nya
shopee,shopee
pen,ingin
jerawatan,jerawatan
makbul,makbul
bolanya,bola nya
disayanginya,disayanginya
kapok,kapok
santainya,santai nya
jadilebihbaik,jadi lebih baik
holiday,liburan
oiyaaa,oh iya
jampencapaian,jam pencapaian
objeknya,objek nya
posisinya,posisi nya
oplas,operasi plastik
dsni,di sini
sanusi,sanusi
sukanya,suka nya
keukeuh,kukuh
daria,daria
yaow,ya
kupelajari,ku pelajari
sngad,sangat
sekala,skala
sesetia,sesetia
tppijatim,tpp jawa timur
copetnyaaahh,copet nya
semogaa,semoga
tertentu,tertentu
jalanan,jalanan
anon,anonim
antripun,antri pun
masalahku,masalah ku
sekadar,sekadar
dipintu,di pintu
pilpres,pemilihan presiden
gakusah,tidak usah
geng,geng
bercinta,bercinta
ditrack,di lacak
ruqiyah,ruqyah
bundling,bundling
deretan,deretan
mekkel,mekkel
pulogebang,pulo gebang
allahualam,wallahualam
lagiya,lagi ya
office,kantor
ndapapa,tidak apa apa
ngikutin,mengikuti
olahragawan,olahrawagawan
kmn,ke mana
baee,saja
terdalam,terdalam
disposable,sekali pakai
hilangku,hilang
bolehkah,boleh kah
cuy,cuy
masing,masing
koalisi,koalisi
tereak,teriak
ngaoahahaha,tertawa
andre,andre
this,this
encore,encore
jodohnya,jodoh nya
artificial,artificial
pembagiannya,pembagian nya
bonekjancuk,bonek jancuk
yaelah,yaelah
listriknya,listrik nya
euphoria,"euforia
"
oenuh,penuh
standaar,standar
rapotan,rapot an
menyisihkan,menyisihkan
ditayangin,di tayangin
menyebalkanmu,menyebalkan mu
oren,jingga
kalee,kali
degup,degup
berdosa,berdosa
astagfirullahalazim,astagfirullahalazim
sampaikan,sampaikan
muktamar,muktamar
kesabaran,kesabaran
haekal,haekal
kejadian,kejadian
gih,gih
ngeprank,prank
cemburuan,cemburuan
pejaten,pejaten
dira,dira
didepannya,di depan nya
keluarnya,keluar nya
@ daplangu,@daplangu
msuk,masuk
whatsapp,whatsapp
mempersekutukanmu,mempersekutukan mu
ingatkan,ingatkan
tenangin,menenangi
mksh,terima kasih
yayasan,yayasan
lawanmu,lawan mu
dinanti,di nanti
soooooo,jadi
gadapat,tidak dapat
segininya,segini nya
kendaraan,kendaraan
ninggalin,meninggalkan
percuma,percuma
jngan,jangan
thor,thor
menyebrang,menyeberang
deeh,deh
kagumi,kagumi
friend,teman
sepasang,sepasang
dblock,di blok
likeforlike,like for like
harua,harus
topcer,puncak
ekonominya,ekonomi nya
biasalah,biasalah
berlatih,berlatih
amad,amad
icut,icut
tantrum,tantrum
menerbitkan,menerbitkan
abisan,habisan
pengangguran,pengangguran
berbatov,berbatov
hate,benci
dipilih,dipilih
nambawan,nambawan
opininya,opini nya
hazard,bahaya
zonk,zonk
dipikir,di pikir
angpaonya,angpao nya
mbk,mbak
success,sukses
ets,ets
meraskan,merasakan
hanifa,hanifa
guwah,saya
trbaik,terbaik
bully,rundung
nunjukin,menunjuk kan
selasa,selasa
psikologinya,psikologi nya
jelpi,jelpi
brikut,berikut
karni,karni
refreshing,refreshing
digerakkan,digerakkan
iphone,iphone
candaku,canda ku
diunfoll,di unfollow
allhmdulillah,alhamdulillah
palanya,kepalanya
lali,lupa
edukasi,edukasi
menetap,menetap
dipotong,di potong
kitaaaa,kita
bersatu,bersatu
diperiksa,di periksa
perutnya,perut nya
nyuruh,suruh
gegoleran,berbaring
bocengli,tidak pantas
pakdheku,pakdhe ku
ngajar,mengajar
lucuuuu,lucu
cieee,cie
pulng,pulang
duh,aduh
menderita,menderita
toraja,toraja
yaelahh,yaelah
pedes,pedas
angong,bengong
saat,saat
kesehatn,kesehatan
berlico,berlico
kapokgabisa,kapok gabisa
makanin,memakan
matap,mantap
muchie,much
aaaaaa,aaaaaa
gilingan,gilingan
lugu,lugu
ispa,ispa
hbs,habis
gopay,gopay
ana,ana
zulkifli,zulkifli
menyemangati,menyemangati
ngintipin,mengintip
pansosan,pansosan
nisanya,nisanya
tanyaan,tanyaan
tayangan,tayangan
namu,nemu
dikenang,di kenang
ngebuktiin,membuktikan
masyrakt,masyarakat
pemerintahannya,pemerintahan nya
dijaga,di jaga
menyimpan,menyimpan
sekalikali,sekali kali
sbgmn,sebagaimana
skincarean,skincare an
nambang,menambang
pokonya,pokok nya
indosat,indosat
penghujat,penghujat
pressure,tekanan
pilipin,filipina
rb,ribu
someone,seseorang
disiplinku,disiplin ku
deres,deras
kulangsung,ku langsung
ngabdi,mengabdi
yaqin,yakin
translate,terjemahan
setulus,se tulus
penyelundup,penyelundup
sepele,sepele
doaku,doa ku
denise,denise
pngen,ingin
plek,plek
if,jika
memancing,memancing
rausah,tidak usah
amazing,luar biasa
guetakut,saya takut
huawei,huawei
membangunkanku,membangunkan ku
pipis,kencing
cur,cur
duhai,duhai
kiefsi,kfc
mundurmaju,mundur maju
kupu,kupu
makin,semakin
selangit,selangit
heaven,surga
kirimin,kirim
sholatlu,salat lu
sholat,salat
seberani,se berani
turu,tidur
simpulkan,menyimpulkan
just,hanya
panggilanmu,panggilan mu
sebahu,se bahu
ditolak,di tolak
salaman,salaman
baff,baff
manfaatin,manfaatin
suda,sudah
ceplukan,ceplukan
agooo,ago
obob,tidur
idol,idola
pantatcina,pantat cina
dibayanganku,di bayangan ku
mengikutimu,mengikuti mu
keluhanborjuis,keluhan borjuis
hijriyah,hijriyah
sontoloyo,sontoloyo
mendingan,mendingan
menggadaikan,menggadaikan
parangtritis,parangtritis
ganteng,ganteng
menerimamu,menerima mu
belom,belum
hater,hater
kumpulan,kumpulan
karaoke,karaoke
skit,sakit
entitled,berhak
citacita,cita cita
wawancara,wawancara
keluarkatanya,keluar kata nya
persahabatan,persahabatan
mabfaat,manfaat
subhannallah,subhanallah
menginginkannya,menginginkan nya
bobroknya,bobrok nya
diinginkn,diinginkan
jumpe,jumpa
dilawan,di lawan
towns,towns
wihara,wihara
ios,ios
gunadarma,gunadarma
motivasi,motivasi
ica,ica
yeeeaaayyy,hore
cd,cd
aley,aley
rohmu,roh mu
trolley,troli
bercadar,bercadar
dahsyat,dahsyat
kariadi,kariadi
ditwit,di tweet
ungkapan,ungkapan
pap,foto
dbawel,di bawel in
kelinci,kelinci
slhkan,silakan
bebatuan,bebatuan
accounting,akutans
njing,anjing
outfit,pakaian
dp,display picture
benci,benci
zarry,zarry
memelukku,memeluk ku
giveaway,give away
haikal,haikal
anakmu,anak mu
dapet,dapat
perlakuan,perlakuan
prodeo,prodeo
petuahpuasa,petuah puasa
ceritakemarinsore,cerita kemarin sore
scra,secara
terkena,terkena
uts,ujian tengah semester
talk,berbicara
marenmaren,kemarin
mashed,halus
windu,windu
ketemuan,bertemu
menyebut,menyebut
kuingat,ku ingat
syurga,surga
scorer,pencetak gol
egonya,ego nya
jamaah,jamaah
location,lokasi
yaa,ya
tdk,tidak
uwa,saya
diboikot,di boikot
tyda,tidak
ditemani,di temani
intronya,into nya
ibuqu,ibu ku
muscala,muscala
helaaaawww,halo
hormat,hormat
sr,sr
apanya,apanya
konsul,konsultasi
jeroan,jeroan
dept,departemen
jatengdaruratkorupsi,jawa tengah darurat korupsi
ott,operasi tangkap tangan
lecet,lecet
tyoo,tyoo
umrohhaji,umroh haji
muahhhh,cium
jihad,jihad
sensara,sengsara
tumpahkan,tumpahkan
khatab,khatab
anas,anas
mercon,mercon
momnjogadingserpong,mom dan jo gading serpong
puisimalam,puisi malam
cengo,bingung
resfect,menghormati
tambahi,tambahi
sarewa,hati hati
blukusan,dadakan
perihal,perihal
akurapopo,aku tidak apa apa
dibanguninnya,di bangunkan
fake,palsu
tol,tol
setnya,set nya
keep,simpan
kosan,kosan
pt,perseroan terbatas
neymar,neymar
menular,menular
ikm,ikm
ngetes,menguji
trf,transfer
base,base
sela,sela
gita,gita
voucher,voucher
pengembalian,pengembalian
preview,pratinjau
hehhehee,tertawa
bersonasi,beresonansi
best,terbaik
no,tidak
qadar,qadar
hmm,bingung
ramai,ramai
tsygmc,tsygmc
pemilu,pemilihan umum
yaduuu,aduh
dibungkam,di bungkam
cian,kasihan
bullying,perundungan
beraniin,beraniin
pour,menuang
klen,kalian
bhsa,bahasa
untk,untuk
silahkan,silakan
warnaan,warna
ngomentarin,mengomentari
sbaik,sebaik
disinilah,di sini lah
ntah,entah
pegawai,pegawai
list,daftar
raesha,raesha
mia,mia
paragrafnya,paragraf nya
logikaku,logika ku
ditanyain,di tanyain
or,atau
owner,pemilik
ud,sudah
memandangmu,memandangmu
seluruhnya,seluruh nya
sekecil,sekecil
theory,teori
honor,menghormati
amp,dan
jdnya,jadinya
akang,akang
diubun,di ubun
kelebatan,kelebatan
jng,jangan
satunye,satu nya
tersiksa,tersiksa
nerimain,menerima
wozniacki,wozniacki
mamaku,mama ku
kaosnya,kaos nya
ashar,ashar
patnernya,mitra
patner,mitra
aph,apa
mengomentari,mengomentari
overload,kelebihan muatan
dimudahkan,di mudah kan
ibuhamil,ibu hamil
ntu,itu
fvcking,fucking
dtunggu,di tunggu
menyindir,menyindir
thnkng,berpikir
harasmen,kekerasan
rektor,rektor
sak,sampai
locked,terkunci
memakai,memakai
fyi,for your information
kaga,kagak
marahin,marahin
wklnya,wakil nya
gmana,gimana
satinah,satinah
melihara,memelihara
apagga,apa tidak
ngejer,mengejar
nu,nu
meninggalnya,meninggal nya
dikelola,di kelola
gada,tidak ada
sanggahan,sanggahan
pstw,panti sosial tenaga kesejahteraan sosial
jutek,bengis
diundang,di undang
palaur,takut
bahagiain,membahagiakan
serahin,serah kan
politis,politis
dik,adik
gueee,saya
tobio,tobio
daku,diri ku
rizieq,rizieq
jumat,jumat
kebetulan,kebetulan
eum,eum
ridhamu,ridha mu
ngeetiin,memahami
mampu,mampu
setres,stres
sepadan,sepadan
alh,almarhum
pidatonya,pidato nya
editing,editing
gerindrong,gerindrong
kog,kok
baradatu,baradatu
nggugu,mematuhi
in shaa,insya
terharu,terharu
cuekan,cuek an
campuran,campuran
kejamnya,kejam nya
menciumku,mencium ku
dah,sudah
examplenya,contoh nya
pahanya,paha nya
curhatan,curhatan
ilaihi,ilahi
didalamnya,di dalam nya
urab,urap
w,saya
evakuasi,evakuasi
kak,kakak
theyll,mereka akan
kamuuu,kamu
segenap,segenap
smbl,sambil
pisces,pisces
dibeliin,di beli kan
clara,clara
gmbira,gembira
menggemaskan,menggemaskan
tbh,kalau boleh jujur
kq,kaki
pembantu,pembantu
dikembalikan,dikembalikan
deadpool,deadpool
kani,kani
nyoblos,mencoblos
kemnpun,kemana pun
terjadikah,terjadikah
kemerosotan,kemerosotan
rupiahnya,rupiah nya
alasanku,alasan ku
nyentuh,menyentuh
banat,banat
ngeri,negeri
dapatkan,mendapatkan
telkomsel,telkomsel
dimandiin,dimandiin
bermoral,bermoral
setrong,kuat
delcont,menghapus kontak
kagem,untuk
jokowimembangunindonesia,jokowi membangun indonesia
magang,magang
mencuri,mencuri
terungkapkan,terungkap kan
ketabrak,tertabrak
bolt,bolt
dibidangnya,di bidang nya
tardiyana,tardiyana
jawabannya,jawaban nya
water,air
harusnyakan,seharusnya
langsir,langsir
ditungguin,ditungguin
ngmng,berbicara
tapi,tetapi
sirnas,sirkuit nasional
syuting,sunting
nanya,bertanya
irfan,irfan
identitas,identitas
maksimal,maksimal
qualitytime,quality time
dibuatkan,dibuatkan
lara,sedih
voicenya,suara nya
istimewa,istimewa
kontraksi,kontraksi
dimintai,dimintai
hijab,hijab
island,pulau
mbangun,membangun
dihitung,di hitung
dibawah,di bawah
greget,gereget
macet,macet
gituu,begitu
china,cina
ttt,ttt
recucle,daur ulang
tertunda,tertunda
disiapkan,disiapkan
bayangan,bayangkan
nongki,duduk santai
swt,swt
bapaaakk,bapak
thousand,seribu
ehmmm,ehmmm
dngn,dengan
siabg,siang
diinginkannn,di ingin kan
geblek,bodoh
ngeliatnya,melihat nya
anehnya,aneh nya
skenario,skenario
album,album
sweetie,kekasih
panpel,panitia pelaksana
kemarenan,kemarin
sepedaan,bersepeda
manismu,manis mu
stall,stall
kemungkinan,kemungkinan
dh,sudah
kejauhan,kejauhan
tht,telinga hidung tenggorokan
mhs,mahasiswa
king,raja
precious,berharga
asongan,asongan
auftttt,auftttt
bagaimana,bagaimana
berkahnya,berkah nya
govlox,bodoh
manisnya,manis nya
diburu,di buru
mengira,mengira
muhasabah,muhasabah
marahan,marah
escape,pelarian
mengenakkan,mengenakkan
manjanya,manja nya
sumpeh,sumpah
skrng,sekarang
tyap,tiap
smpe,sampai
lontong,lontong
sisasemalam,sisa semalam
perlakukan,perlakuan
mempertahankan,mempertahankan
mengasyikan,mengasyikkan
hiyak,hiyak
pengagum,pengagum
bangung,bangun
tergugah,tergugah
weker,weker
kadernya,kader nya
laluny,lalu nya
bngsat,bangsat
bonjour,halo
tubuhmu,tubuh mu
idamkan,idamkan
demen,demen
dian,dian
ngelawaq,melawak
ahaha,tertawa
pemarah,pemarah
empunya,empunya
berulangkali,berulang kali
disekitarnya,disekitar nya
estimasi,estimasi
temanantaraterfavorit,teman antara terfavorit
indomi,mie
malumalu,malu malu
diakhiri,diakhiri
pelipis,pelipis
perpus,perpustakaan
nyutnyutan,berdenyut
lobang,lubang
bapa,bapak
pakk,bapak
smile,senyum
sendiriantanpa,sendiri tanpa
kufur,kufur
sos,sos
memarahi,memarahi
ol,oleh
ngtap,menempelkan
tomi,tomi
menyerahkan,menyerahkan
disehatkan,di sehat kan
kebagian,kebagian
malaysia,malaysia
kalbis,kalbis
sininya,sini nya
orangyangkucintai,orang yang ku cintai
maunya,mau nya
keindahannya,keindahan nya
asai,asai
bertindak,bertindak
dicheck,di periksa
shower,mandi
soalny,karena
maintain,menjaga
ketemunya,ketemu nya
syariah,syariah
jwban,jawaban
umr,upah minimum regional
aih,aih
nista,nista
inovasi,inovasi
dyaar,dyaar
rsut,rumah sakit umum
kesiapapun,ke siapa pun
qolbi,qolbi
mbanya,mba nya
arief,arief
umurnya,umur nya
sekilo,sekilo
laknatullah,laknatullah
soft,halus
mungsuh,musuh
denganmu,dengan mu
kedudukan,kedudukan
porsi,porsi
hwaiting,semangat
naluri,naluri
sirup,sirup
national,nasional
mosque,masjid
hahahha,tertawa
menarique,menarik
mulailah,mulailah
kitu,kitu
bubble,gelembung
selebaran,selebaran
tukeran,tukaran
boy,boy
terangkanlah,terangkan lah
dudanya,duda nya
do,do
vocal,vokal
cintars,pencita
keriput,keriput
teduh,teduh
supportif,mendukung
sodaraw,saudara
digojek,di gojek
tercermin,tercermin
baeknya,baiknya
blabla,blabla
njenengan,anda
pangkodam,panglima komando daerah militer
kroscek,memeriksa kembali
peluklah,peluk lah
mengemis,mengemis
masku,mas ku
sekalisekali,sekali sekali
mba,mbak
ck,ck
nikmatnya,nikmat nya
brengsek,brengsek
rakan,rekan
cwek,cewek
kepler,kepler
eratnya,erat nya
keingetnya,keinget nya
headset,headset
purworejo,purworejo
kalangan,kalnagn
berpendar,berpendar
melihatmu,melihat mu
dihina,di hina
conspiracy,konspirasi
seragamkan,seragam kan
kobaran,kobaran
paketan,paketan
harassment,kekerasan
menantimu,menanti mu
spj,spg
tipssore,tips sore
seagresif,se agresif
chesecake,chesecake
barangny,barang nya
brutal,brutal
tupperware,tupperware
mikir,pikir
dinegara,di negara
dahh,dah
membenarkan,membenarkan
isterinya,istri nya
standart,standar
overcurated,terlalu dikuratori
ditiap,di setiap
childish,kekanak kanakan
informa,informa
stel,setel
blio,beliau
betapapun,betapapun
yoi,ya
nafas,napas
tajil,takjil
laz,laz
kesanggupannya,kesanggupan nya
motong,memotong
channel,saluran
beett,banget
untungnya,untung nya
sofi,sofi
menjauh,menjauh
iparnya,ipar nya
needle,jarum
indomaret,indomaret
utk,untuk
testing,menguji
rewel,rewel
krts,kertas
mengamandemen,mengamandemen
getwellsoonleeteuk,get well soon lee tuk
keada,keadaan
grow,tumbuh
mino,mino
langsing,langsing
blessings,berkat
kaka,kakak
softlens,softlens
hour,jam
pajama,piyama
ukk,uji kopetensi keahlian
meramal,meramal
blame,menyalahkan
inginku,ingin ku
menghalalkan,menghalalkan
pet,hewan peliharaan
lumayan,lumayan
gantipresiden,ganti presiden
asian,asia
ibumu,ibu mu
caramu,cara mu
tbm,tbm
kyknya,sepertinya
helen,helem
sit,duduk
sapardi,sapardi
putrinya,putri nya
keluarganya,keluarga nya
kampusnya,kampus nya
g,tidak
wes,sudah
sebiji,sebiji
ucp,ucap
inih,ini
memberantaskemiskinan,memberantas kemiskinan
kerumahku,ke rumah ku
berjiwa,berjuwa
diinik,diinik
berkala,berkala
klian,kalian
pdku,pada ku
juvia,juvia
berusaha,berusaha
tengil,tengil
berkutat,berkutat
pantes,pantas
komitmen,komitmen
rabumenggebu,rabu menggebu
bersenda,bersenda
berdampak,berdampak
pertamaku,pertama ku
sanah,sana
gowes,mengayuh
sepatunya,sepatu nya
terminal,terminal
qobul,qobul
talambat,terlambat
runningjourney,running journey
rom,room
skr,sekarang
kerasnya,keras nya
bulanbungkarno,bulan bung karno
wehh,weh
apollo,apollo
hahahhaa,tertawa
cubit,cubit
jyoti,jyoti
dicuci,di cuci
clear,bersih
capung,capung
life,hidup
difilm,di film
moroi,moroi
aduhaduh,aduh
pmbangunan,pembanguna
ketimuran,ketimuran
mensive,bulanan
drtd,dari tadi
blitar,blitar
judge,menilai
menjamin,menjamin
explorebanten,eksplorasi banten
nyolong,mencuri
pecinta,pecinta
knp,kenapa
apadaya,apa daya
ngajak,mengajak
sbnre,sebenarnya
drku,diri ku
bantunya,bantu nya
mengirimkan,mengirimkan
skip,lewat
phsyco,psikopat
mendaftar,mendaftar
park,taman
rm,rm
segitunya,segitu nya
sngt,sangat
persiapan,persiapan
deadline,tenggat waktu
didasari,berdasar
bngt,banget
preseden,presiden
disakitinya,di sakiti nya
bli,bli
melek,terbangun
sepupuku,sepupu ku
suapin,suap
kebuka,terbuka
shitpostingdivarposting,shitpostingdivarposting
ditelikung,di telikung
mslh,masalah
pengharhaan,penghargaan
eciye,eciye
tertarik,tertarik
kecilnya,kecil nya
seindah,seindah
pelarianku,pelarian ku
traveloa,traveloka
mimin,mimin
plastic,plastik
dirasain,di rasain
bibirnya,bibir nya
tulisanku,tulisan ku
cakung,cakung
kabuuuurrr,kabur
respect,respek
permasalakan,memasalahkan
indahmu,indah mu
porsche,porsche
pelukan,pelukan
jae,jae
kaaih,kasih
faster,lebih cepat
jangankan,jangankan
berharga,berharga
aisjatengplath,arsenal indonesia supporters jawa tengah
aisjogja,asrsenal indonesia supporters jogja
didewasakan,di dewasakan
cab,cabang
diorang,mereka
kangennya,kangen nya
pembukaan,pembukaan
kamuuhhh,kamu
jeng,jeng
ngesot,ngesot
slek,berselisih
dijejerin,di jejer in
statusnya,stausnya
hr,hari
votenya,suara nya
sahurrrr,sahur
alarm,alaram
sante,santai
ngerumpi,merumpi
body,badan
artinya,arti nya
bbrpa,beberapa
expired,kadaluarsa
seminggu,seminggu
mberi,memberi
skrg,sekarang
penjeblos,pelaku penahanan
nyengat,menyengat
ngepas,pas
tuntas,tuntas
sampean,kamu
direcycle,di daur ulang
pengelolanya,pengelola nya
merakan,merasakan
siak,siak
mail,mail
worth,bernilai
ngehate,benci
penjualan,penjualan
pfftt,pfftt
megangin,memegang
ikhlaskan,ikhlas kan
borr,borr
saranghae,cinta
bing,baasa inggris
pdahal,padahal
once,sekali
aqilah,aqilah
hastag,hashtag
followersnya,pengikut nya
sediain,sediakan
pending,tunda
donghan,donghan
anatomi,anatomi
bbs,
imagine,bayangkan
kosanlyfe,kehidupan kosan
seenak,seenak
dikenal,di kenal
tokopedia,tokopedia
poltekkes,politeknik kesehatan kemenkes
badanya,badan nya
pki,partai komunis indonesia
sewaktu,sewaktu
universitas,universitas
yaampuuuuuunnn,ya ampun
tni,tentara nasional indonesia
wkk,tertawa
pooper,pooper
meh,ingin
bet,banget
terhapus,terhapus
sucimu,suci mu
neg,neg
menjemputmu,menjemput mu
ponco,ponco
hatiyangcukupdalam,hati yang cukup dalam
misqin,miskin
bibi,bibi
lah,lah
bahak,bahak
halte,halte
oriflame,oriflame
singanya,singa nya
la,lah
dasarrr,dasar
prosesnya,proses nya
tebakan,tebakan
melolong,melolong
soonhoon,soonhoon
kolab,kolaborasi
kesukaan,kesukaan
capek,capek
ducati,ducati
bayangnya,bayang nya
penggerak,penggerak
slalu,ya selalu
git,git
amarahnya,amarah nya
mantapkan,mantap kan
bakulkuliner,bakul kuliner
gga,tidak
menpar,menteri pariwisata
buyback,membeli kembali
recomended,rekomen
ngeharep,berharap
parkiran,parkiran
silailah,silsilah
yugyeom,yugyeom
setinggi,setinggi
iuran,iuran
dicintainya,di cintai nya
tissue,tisu
waturoyo,waturoyo
lingkaran,lingkaran
thailand,thailand
kelingkingnya,kelingking nya
terduga,terduga
princess,princess
hallo,halo
huhuu,menangis
mengajarkan,mengajarkan
memanfaatkan,memanfaatkan
selektif,selektif
dicinta,di cinta
longsor,longsor
bacain,membaca
ketiganya,ketiga nya
diserang,di serang
mala,mala
dikecamatan,di kecamatan
besdey,birthday
dikeluarkan,di keluar kan
kodratnya,kodrat nya
cintas,cinta
latepost,latepost
selamaad,selamat
pokokmen,pada dasarnya
ngandelin,mengandalkan
could,bisa
bergambar,bergambar
tercabik,terccabik
exo,exo
cret,cret
neto,neto
diunfol,berhenti mengikuti
penangkapan,penangkapan
terjadi,terjadi
berprestasi,berprestasi
john,john
goler,goler
innalillahi,innalillahi
faham,paham
mempengaruhi,memengaruhi
nyolotan,menantang
sedangkan,sedangkan
lelakiku,lelaki ku
kutukan,kutukan
terpejam,terpejam
nahan,tahan
iyaaa,iya
waterfalls,waterfalls
mgkin,mungkin
mtk,matematika
masi,masih
hatimu,hati mu
uyul,uyul
kalian,kalian
kemasan,kemasan
sayngnya,sayang nya
jamila,jamila
move,move
dikerjain,dikerjain
kebahagianku,kebahagiaan ku
nyalakan,menyalakan
weding,pernikahan
cuacanya,cuaca nya
tapigakdalamdalambanget,tapi gak dalam dalam banget
yuuuk,yuk
setop,setop
jadigalau,jadi galau
sekelepek,se kelepek
firsta,firsta
kinder,kinder
culun,culun
apaansi,apaan sih
carats,carats
lenih,lebih
sekitaran,sekitar an
notebook,notebook
lesbi,lesbi
neural,neural
ssuai,sesua
piala,piala
sesamanya,sesama nya
aaah,ah
bisanya,bisa nya
warteg,warung tegal
gowesnusantara,gowes nusantara
