,Slang,Formal
234,kadiv,kepala divisi
235,kagak,tidak
236,kalo,kalau
237,kampret,sialan
238,kamtibmas,keamanan dan ketertiban masyarakat
239,kamuwh,kamu
240,kanwil,kantor wilayah
241,karna,karena
242,kasubbag,kepala subbagian
243,katrok,kampungan
244,kayanya,kayaknya
245,kbr,kabar
246,kdu,harus
247,kec,kecamatan
248,kejurnas,kejuaraan nasional
249,kekeuh,keras kepala
250,kel,kelurahan
251,kemaren,kemarin
252,kepengen,mau
253,kepingin,mau
254,kepsek,kepala sekolah
255,kesbang,kesatuan bangsa
256,kesra,kesejahteraan rakyat
257,ketrima,diterima
258,kgiatan,kegiatan
259,kibul,bohong
260,kimpoi,kawin
261,kl,kalau
262,klianz,kalian
263,kloter,kelompok terbang
264,klw,kalau
265,km,kamu
266,kmps,kampus
267,kmrn,kemarin
268,knal,kenal
269,knp,kenapa
270,kodya,kota madya
271,komdis,komisi disiplin
272,komsov,komunis sovyet
273,kongkow,kumpul bareng teman-teman
274,kopdar,kopi darat
275,korup,korupsi
276,kpn,kapan
277,krenz,keren
278,krm,kirim
279,kt,kita
280,ktmu,ketemu
281,ktr,kantor
282,kuper,kurang pergaulan
283,kw,imitasi
284,kyk,seperti
285,la,lah
286,lam,salam
287,lamp,lampiran
288,lanud,landasan udara
289,latgab,latihan gabungan
290,lebay,berlebihan
291,leh,boleh
292,lelet,lambat
293,lemot,lambat
294,lgi,lagi
295,lgsg,langsung
296,liat,lihat
297,litbang,penelitian dan pengembangan
298,lmyn,lumayan
299,lo,kamu
300,loe,kamu
301,lola,lambat berfikir
302,louph,cinta
303,low,kalau
304,lp,lupa
305,luber,"langsung, umum, bebas, dan rahasia"
306,luchuw,lucu
307,lum,belum
308,luthu,lucu
309,lwn,lawan
310,maacih,terima kasih
311,mabal,bolos
312,macem,macam
313,macih,masih
314,maem,makan
315,magabut,makan gaji buta
316,maho,homo
317,mak jang,kaget
318,maksain,memaksa
319,malem,malam
320,mam,makan
321,maneh,kamu
322,maniez,manis
323,mao,mau
324,masukin,masukkan
325,melu,ikut
326,mepet,dekat sekali
327,mgu,minggu
328,migas,minyak dan gas bumi
329,mikol,minuman beralkohol
330,miras,minuman keras
331,mlah,malah
332,mngkn,mungkin
333,mo,mau
334,mokad,mati
335,moso,masa
336,mpe,sampai
337,msk,masuk
338,mslh,masalah
339,mt,makan teman
340,mubes,musyawarah besar
341,mulu,melulu
342,mumpung,selagi
343,munas,musyawarah nasional
344,muntaber,muntah dan berak
345,musti,mesti
346,muupz,maaf
347,mw,now watching
348,n,dan
349,nanam,menanam
350,nanya,bertanya
351,napa,kenapa
352,napi,narapidana
353,napza,"narkotika, alkohol, psikotropika, dan zat adiktif "
354,narkoba,"narkotika, psikotropika, dan obat terlarang"
355,nasgor,nasi goreng
356,nda,tidak
357,ndiri,sendiri
358,ne,ini
359,nekolin,neokolonialisme
360,nembak,menyatakan cinta
361,ngabuburit,menunggu berbuka puasa
362,ngaku,mengaku
363,ngambil,mengambil
364,nganggur,tidak punya pekerjaan
365,ngapah,kenapa
366,ngaret,terlambat
367,ngasih,memberikan
368,ngebandel,berbuat bandel
369,ngegosip,bergosip
370,ngeklaim,mengklaim
371,ngeksis,menjadi eksis
372,ngeles,berkilah
373,ngelidur,menggigau
374,ngerampok,merampok
375,ngga,tidak
376,ngibul,berbohong
377,ngiler,mau
378,ngiri,iri
379,ngisiin,mengisikan
380,ngmng,bicara
381,ngomong,bicara
382,ngubek2,mencari-cari
383,ngurus,mengurus
384,nie,ini
385,nih,ini
386,niyh,nih
387,nmr,nomor
388,nntn,nonton
389,nobar,nonton bareng
390,np,now playing
391,ntar,nanti
392,ntn,nonton
393,numpuk,bertumpuk
394,nutupin,menutupi
395,nyari,mencari
396,nyekar,menyekar
397,nyicil,mencicil
398,nyoblos,mencoblos
399,nyokap,ibu
400,ogah,tidak mau
401,ol,online
402,ongkir,ongkos kirim
403,oot,out of topic
404,org2,orang-orang
405,ortu,orang tua
406,otda,otonomi daerah
407,otw,"on the way, sedang di jalan"
408,pacal,pacar
409,pake,pakai
410,pala,kepala
411,pansus,panitia khusus
412,parpol,partai politik
413,pasutri,pasangan suami istri
414,pd,pada
415,pede,percaya diri
416,pelatnas,pemusatan latihan nasional
417,pemda,pemerintah daerah
418,pemkot,pemerintah kota
419,pemred,pemimpin redaksi
420,penjas,pendidikan jasmani
421,perda,peraturan daerah
422,perhatiin,perhatikan
423,pesenan,pesanan
424,pgang,pegang
425,pi,tapi
426,pilkada,pemilihan kepala daerah
427,pisan,sangat
428,pk,penjahat kelamin
429,plg,paling
430,pmrnth,pemerintah
431,polantas,polisi lalu lintas
432,ponpes,pondok pesantren
433,pp,pulang pergi
434,prg,pergi
435,prnh,pernah
436,psen,pesan
437,pst,pasti
438,pswt,pesawat
439,pw,posisi nyaman
440,qmu,kamu
441,rakor,rapat koordinasi
442,ranmor,kendaraan bermotor
443,re,reply
444,ref,referensi
445,rehab,rehabilitasi
446,rempong,sulit
447,repp,balas
448,restik,reserse narkotika
449,rhs,rahasia
450,rmh,rumah
451,ru,baru
452,ruko,rumah toko
453,rusunawa,rumah susun sewa
454,ruz,terus
455,saia,saya
456,salting,salah tingkah
457,sampe,sampai
458,samsek,sama sekali
459,sapose,siapa
460,satpam,satuan pengamanan
461,sbb,sebagai berikut
462,sbh,sebuah
463,sbnrny,sebenarnya
464,scr,secara
465,sdgkn,sedangkan
466,sdkt,sedikit
467,se7,setuju
468,sebelas dua belas,mirip
469,sembako,sembilan bahan pokok
470,sempet,sempat
471,sendratari,seni drama tari
472,sgt,sangat
473,shg,sehingga
474,siech,sih
475,sikon,situasi dan kondisi
476,sinetron,sinema elektronik
477,siramin,siramkan
478,sj,saja
479,skalian,sekalian
480,sklh,sekolah
481,skt,sakit
482,slesai,selesai
483,sll,selalu
484,slma,selama
485,slsai,selesai
486,smpt,sempat
487,smw,semua
488,sndiri,sendiri
489,soljum,sholat jumat
490,songong,sombong
491,sory,maaf
492,sosek,sosial-ekonomi
493,sotoy,sok tahu
494,spa,siapa
495,sppa,siapa
496,spt,seperti
497,srtfkt,sertifikat
498,stiap,setiap
499,stlh,setelah
500,suk,masuk
501,sumpek,sempit
502,syg,sayang
503,t4,tempat
504,tajir,kaya
505,tau,tahu
506,taw,tahu
507,td,tadi
508,tdk,tidak
509,teh,kakak perempuan
510,telat,terlambat
511,telmi,telat berpikir
512,temen,teman
513,tengil,menyebalkan
514,tepar,terkapar
515,tggu,tunggu
516,tgu,tunggu
517,thankz,terima kasih
518,thn,tahun
519,tilang,bukti pelanggaran
520,tipiwan,TvOne
521,tks,terima kasih
522,tlp,telepon
523,tls,tulis
524,tmbah,tambah
525,tmen2,teman-teman
526,tmpah,tumpah
527,tmpt,tempat
528,tngu,tunggu
529,tnyta,ternyata
530,tokai,tai
531,toserba,toko serba ada
532,tpi,tapi
533,trdhulu,terdahulu
534,trima,terima kasih
535,trm,terima
536,trs,terus
537,trutama,terutama
538,ts,penulis
539,tst,tahu sama tahu
540,ttg,tentang
541,tuch,tuh
542,tuir,tua
543,tw,tahu
544,u,kamu
545,ud,sudah
546,udah,sudah
547,ujg,ujung
548,ul,ulangan
549,unyu,lucu
550,uplot,unggah
551,urang,saya
552,usah,perlu
553,utk,untuk
554,valas,valuta asing
555,w/,dengan
556,wadir,wakil direktur
557,wamil,wajib militer
558,warkop,warung kopi
559,warteg,warung tegal
560,wat,buat
561,wkt,waktu
562,wtf,what the fuck
563,xixixi,tertawa
564,ya,iya
565,yap,iya
566,yaudah,ya sudah
567,yawdah,ya sudah
568,yg,yang
569,yl,yang lain
570,yo,iya
571,yowes,ya sudah
572,yup,iya
573,7an,tujuan
574,ababil,abg labil
575,acc,accord
576,adlah,adalah
577,adoh,aduh
578,aha,tertawa
579,aing,saya
580,aja,saja
581,ajj,saja
582,aka,dikenal juga sebagai
583,akko,aku
584,akku,aku
585,akyu,aku
586,aljasa,asal jadi saja
587,ama,sama
588,ambl,ambil
589,anjir,anjing
590,ank,anak
591,ap,apa
592,apaan,apa
593,ape,apa
594,aplot,unggah
595,apva,apa
596,aqu,aku
597,asap,sesegera mungkin
598,aseek,asyik
599,asek,asyik
600,aseknya,asyiknya
601,asoy,asyik
602,astrojim,astagfirullahaladzim
603,ath,kalau begitu
604,atuh,kalau begitu
605,ava,avatar
606,aws,awas
607,ayang,sayang
608,ayok,ayo
609,bacot,banyak bicara
610,bales,balas
611,bangdes,pembangunan desa
612,bangkotan,tua
613,banpres,bantuan presiden
614,bansarkas,bantuan sarana kesehatan
615,bazis,"badan amal, zakat, infak, dan sedekah"
616,bcoz,karena
617,beb,sayang
618,bejibun,banyak
619,belom,belum
620,bener,benar
621,ber2,berdua
622,berdikari,berdiri di atas kaki sendiri
623,bet,banget
624,beti,beda tipis
625,beut,banget
626,bgd,banget
627,bgs,bagus
628,bhubu,tidur
629,bimbuluh,bimbingan dan penyuluhan
630,bisi,kalau-kalau
631,bkn,bukan
632,bl,beli
633,blg,bilang
634,blm,belum
635,bls,balas
636,bnchi,benci
637,bngung,bingung
638,bnyk,banyak
639,bohay,badan aduhai
640,bokep,porno
641,bokin,pacar
642,bole,boleh
643,bolot,bodoh
644,bonyok,ayah ibu
645,bpk,bapak
646,brb,segera kembali
647,brngkt,berangkat
648,brp,berapa
649,brur,saudara laki-laki
650,bsa,bisa
651,bsk,besok
652,bu_bu,tidur
653,bubarin,bubarkan
654,buber,buka bersama
655,bujubune,luar biasa
656,buser,buru sergap
657,bwhn,bawahan
658,byar,bayar
659,byr,bayar
660,c8,chat
661,cabut,pergi
662,caem,cakep
663,cama-cama,sama-sama
664,cangcut,celana dalam
665,cape,capek
666,caur,jelek
667,cekak,tidak ada uang
668,cekidot,coba lihat
669,cemplungin,cemplungkan
670,ceper,pendek
671,ceu,kakak perempuan
672,cewe,cewek
673,cibuk,sibuk
674,cin,cinta
675,ciye,cie
676,ckck,ck
677,clbk,cinta lama bersemi kembali
678,cmpr,campur
679,cnenk,senang
680,congor,mulut
681,cow,cowok
682,coz,karena
683,cpa,siapa
684,gokil,gila
685,gombal,suka merayu
686,gpl,tidak pakai lama
687,gpp,tidak apa-apa
688,gretong,gratis
689,gt,begitu
690,gtw,tidak tahu
691,gue,saya
692,guys,teman-teman
693,gws,cepat sembuh
694,haghaghag,tertawa
695,hakhak,tertawa
696,handak,bahan peledak
697,hansip,pertahanan sipil
698,hellow,halo
699,helow,halo
700,hi,hai
701,hlng,hilang
702,hnya,hanya
703,houm,rumah
704,hrs,harus
705,hubad,hubungan angkatan darat
706,hubla,perhubungan laut
707,huft,mengeluh
708,humas,hubungan masyarakat
709,idk,saya tidak tahu
710,ilfeel,tidak suka
711,imba,jago sekali
712,imoet,imut
713,info,informasi
714,itung,hitung
715,isengin,bercanda
716,iyala,iya lah
717,iyo,iya
718,jablay,jarang dibelai
719,jadul,jaman dulu
720,jancuk,anjing
721,jd,jadi
722,jdikan,jadikan
723,jg,juga
724,jgn,jangan
725,jijay,jijik
726,jkt,jakarta
727,jnj,janji
728,jth,jatuh
729,jurdil,jujur adil
730,jwb,jawab
731,ka,kakak
732,kabag,kepala bagian
733,kacian,kasihan
734,kadit,kepala direktorat
735,kaga,tidak
736,kaka,kakak
737,kamtib,keamanan dan ketertiban
738,kamuh,kamu
739,kamyu,kamu
740,kapt,kapten
741,kasat,kepala satuan
742,kasubbid,kepala subbidang
743,kau,kamu
744,kbar,kabar
745,kcian,kasihan
746,keburu,terlanjur
747,kedubes,kedutaan besar
748,kek,seperti
749,keknya,kayaknya
750,keliatan,kelihatan
751,keneh,masih
752,kepikiran,terpikirkan
753,kepo,mau tahu urusan orang
754,kere,tidak punya uang
755,kesian,kasihan
756,ketauan,ketahuan
757,keukeuh,keras kepala
758,khan,kan
759,kibus,kaki busuk
760,kk,kakak
761,klian,kalian
762,klo,kalau
763,kluarga,keluarga
764,klwrga,keluarga
765,kmari,kemari
766,kmpus,kampus
767,kn,kan
768,knl,kenal
769,knpa,kenapa
770,kog,kok
771,kompi,komputer
772,komtiong,komunis Tiongkok
773,konjen,konsulat jenderal
774,koq,kok
775,kpd,kepada
776,kptsan,keputusan
777,krik,garing
778,krn,karena
779,ktauan,ketahuan
780,ktny,katanya
781,kudu,harus
782,kuq,kok
783,ky,seperti
784,kykny,kayanya
785,laka,kecelakaan
786,lambreta,lambat
787,lansia,lanjut usia
788,lapas,lembaga pemasyarakatan
789,lbur,libur
790,lekong,laki-laki
791,lg,lagi
792,lgkp,lengkap
793,lht,lihat
794,linmas,perlindungan masyarakat
795,lmyan,lumayan
796,lngkp,lengkap
797,loch,loh
798,lol,tertawa
799,lom,belum
800,loupz,cinta
801,lowh,kamu
802,lu,kamu
803,luchu,lucu
804,luff,cinta
805,luph,cinta
806,lw,kamu
807,lwt,lewat
808,maaciw,terima kasih
809,mabes,markas besar
810,macem-macem,macam-macam
811,madesu,masa depan suram
812,maen,main
813,mahatma,maju sehat bersama
814,mak,ibu
815,makasih,terima kasih
816,malah,bahkan
817,malu2in,memalukan
818,mamz,makan
819,manies,manis
820,mantep,mantap
821,markus,makelar kasus
822,mba,mbak
823,mending,lebih baik
824,mgkn,mungkin
825,mhn,mohon
826,miker,minuman keras
827,milis,mailing list
828,mksd,maksud
829,mls,malas
830,mnt,minta
831,moge,motor gede
832,mokat,mati
833,mosok,masa
834,msh,masih
835,mskpn,meskipun
836,msng2,masing-masing
837,muahal,mahal
838,muker,musyawarah kerja
839,mumet,pusing
840,muna,munafik
841,munaslub,musyawarah nasional luar biasa
842,musda,musyawarah daerah
843,muup,maaf
844,muuv,maaf
845,nal,kenal
846,nangis,menangis
847,naon,apa
848,napol,narapidana politik
849,naq,anak
850,narsis,bangga pada diri sendiri
851,nax,anak
852,ndak,tidak
853,ndut,gendut
854,nekolim,neokolonialisme
855,nelfon,menelepon
856,ngabis2in,menghabiskan
857,ngakak,tertawa
858,ngambek,marah
859,ngampus,pergi ke kampus
860,ngantri,mengantri
861,ngapain,sedang apa
862,ngaruh,berpengaruh
863,ngawur,berbicara sembarangan
864,ngeceng,kumpul bareng-bareng
865,ngeh,sadar
866,ngekos,tinggal di kos
867,ngelamar,melamar
868,ngeliat,melihat
869,ngemeng,bicara terus-terusan
870,ngerti,mengerti
871,nggak,tidak
872,ngikut,ikut
873,nginep,menginap
874,ngisi,mengisi
875,ngmg,bicara
876,ngocol,lucu
877,ngomongin,membicarakan
878,ngumpul,berkumpul
879,ni,ini
880,nyasar,tersesat
881,nyariin,mencari
882,nyiapin,mempersiapkan
883,nyiram,menyiram
884,nyok,ayo
885,o/,oleh
886,ok,ok
887,priksa,periksa
888,pro,profesional
889,psn,pesan
890,psti,pasti
891,puanas,panas
892,qmo,kamu
893,qt,kita
894,rame,ramai
895,raskin,rakyat miskin
896,red,redaksi
897,reg,register
898,rejeki,rezeki
899,renstra,rencana strategis
900,reskrim,reserse kriminal
901,sni,sini
902,somse,sombong sekali
903,sorry,maaf
904,sosbud,sosial-budaya
905,sospol,sosial-politik
906,sowry,maaf
907,spd,sepeda
908,sprti,seperti
909,spy,supaya
910,stelah,setelah
911,subbag,subbagian
912,sumbangin,sumbangkan
913,sy,saya
914,syp,siapa
915,tabanas,tabungan pembangunan nasional
916,tar,nanti
917,taun,tahun
918,tawh,tahu
919,tdi,tadi
920,te2p,tetap
921,tekor,rugi
922,telkom,telekomunikasi
923,telp,telepon
924,temen2,teman-teman
925,tengok,menjenguk
926,terbitin,terbitkan
927,tgl,tanggal
928,thanks,terima kasih
929,thd,terhadap
930,thx,terima kasih
931,tipi,TV
932,tkg,tukang
933,tll,terlalu
934,tlpn,telepon
935,tman,teman
936,tmbh,tambah
937,tmn2,teman-teman
938,tmph,tumpah
939,tnda,tanda
940,tnh,tanah
941,togel,toto gelap
942,tp,tapi
943,tq,terima kasih
944,trgntg,tergantung
945,trims,terima kasih
946,cb,coba
947,y,ya
948,munfik,munafik
949,reklamuk,reklamasi
950,sma,sama
951,tren,trend
952,ngehe,kesal
953,mz,mas
954,analisise,analisis
955,sadaar,sadar
956,sept,september
957,nmenarik,menarik
958,zonk,bodoh
959,rights,benar
960,simiskin,miskin
961,ngumpet,sembunyi
962,hardcore,keras
963,akhirx,akhirnya
964,solve,solusi
965,watuk,batuk
966,ngebully,intimidasi
967,masy,masyarakat
968,still,masih
969,tauk,tahu
970,mbual,bual
971,tioghoa,tionghoa
972,ngentotin,senggama
973,kentot,senggama
974,faktakta,fakta
975,sohib,teman
976,rubahnn,rubah
977,trlalu,terlalu
978,nyela,cela
979,heters,pembenci
980,nyembah,sembah
981,most,paling
982,ikon,lambang
983,light,terang
984,pndukung,pendukung
985,setting,atur
986,seting,akting
987,next,lanjut
988,waspadalah,waspada
989,gantengsaya,ganteng
990,parte,partai
991,nyerang,serang
992,nipu,tipu
993,ktipu,tipu
994,jentelmen,berani
995,buangbuang,buang
996,tsangka,tersangka
997,kurng,kurang
998,ista,nista
999,less,kurang
1000,koar,teriak
1001,paranoid,takut
1002,problem,masalah
1003,tahi,kotoran
1004,tirani,tiran
1005,tilep,tilap
1006,happy,bahagia
1007,tak,tidak
1008,penertiban,tertib
1009,uasai,kuasa
1010,mnolak,tolak
1011,trending,trend
1012,taik,tahi
1013,wkwkkw,tertawa
1014,ahokncc,ahok
1015,istaa,nista
1016,benarjujur,jujur
1017,mgkin,mungkin
1018,ajh,saja
1019,ajj,saja
1020,akoh,aku
1021,amaca,ah masa
1022,amuh,kamu
1023,aph,apa
1024,apose,apa
1025,apz,apa
1026,aq,saya
1027,baryaw,sabar ya
1028,baryw,sabar ya
1029,bryaw,sabar ya
1030,bryw,sabar ya
1031,bay,selamat tinggal
1032,besoq,besok
1033,beud,banget
1034,bhay,selamat tinggal
1035,bisya,bisa
1036,biza,bisa
1037,bntr,sebentar
1038,bokap,ayah
1039,bkap,ayah
1040,bkp,ayah
1041,bokaps,ayah
1042,bokapz,ayah
1043,bs,bisa
1044,bsa,bisa
1045,bsk,besok
1046,bsoq,besok
1047,bte,bosan
1048,bozen,bosan
1049,bozn,bosan
1050,bzn,bosan
1051,bzen,bosan
1052,cabut,pergi
1053,caiank,sayang
1054,cekola,sekolah
1055,cekolah,sekolah
1056,celalaw,selalu
1057,celalu,selalu
1058,cemungudh,semangat
1059,cemungut,semangat
1060,cemunguth,semangat
1061,cibuq,sibuk
1062,cini,sini
1063,ciyus,serius
1064,cll,selalu
1065,cllu,selalu
1066,cllw,selalu
1067,cpe,capek
1068,cpee,capek
1069,cewe,cewek
1070,cwe,cewek
1071,cowo,cowok
1072,cwo,cowok
1073,dah,sudah
1074,dapa,ada apa
1075,dapah,ada apa
1076,dftr,daftar
1077,dh,sudah
1078,dimance,dimana
1079,dimandose,dimana
1080,dimans,dimana
1081,duluw,dulu
1082,ea,ya
1083,emg,memang
1084,eteb,bosan
1085,g,tidak
1086,ga,tidak
1087,gabut,menganggur
1088,gak,tidak
1089,gakz,tidak
1090,gatau,tidak tahu
1091,gataw,tidak tahu
1092,gengges,ganggu
1093,ghiy,lagi
1094,gi,lagi
1095,gk,tidak
1096,gpp,tidak apa apa
1097,gtw,tidak tahu
1098,gue,saya
1099,gw,saya
1100,gx,tidak
1101,hums,rumah
1102,humz,rumah
1103,huum,iya
1104,iy,iya
1105,iyach,iya
1106,iyap,iya
1107,iyapz,iya
1108,iyup,iya
1109,iyupz,iya
1110,iz,iya
1111,iza,iya
1112,izza,iya
1113,jamber,jam berapa
1114,jd,jadi
1115,jdi,jadi
1116,jg,juga
1117,jga,juga
1118,jgn,jangan
1119,jngan,jangan
1120,jngn,jangan
1121,kacian,kasihan
1122,kaka,kakak
1123,kau,kamu
1124,keles,kali
1125,kenapah,kenapa
1126,kenaps,kenapa
1127,kenapz,kenapa
1128,kepo,ingin tahu
1129,keyen,keren
1130,khan,kan
1131,khanz,kan
1132,kk,kakak
1133,klo,kalau
1134,klw,kalau
1135,km,kamu
1136,kmrn,kemarin
1137,kmu,kamu
1138,knp,kenapa
1139,koq,kok
1140,kpan,kapan
1141,kpn,kapan
1142,kuq,kok
1143,kuy,ayo
1144,kw,kamu
1145,kzl,kesal
1146,lam,salam
1147,leh,boleh
1148,lo,kamu
1149,loe,kamu
1150,lom,belum
1151,low,kalau
1152,lp,lupa
1153,lu,kamu
1154,luchu,lucu
1155,lum,belum
1156,lun,belum
1157,luthu,lucu
1158,lw,kamu
1159,maacih,terima kasih
1160,maap,maaf
1161,mager,malas bergerak
1162,makaci,terima kasih
1163,maw,mau
1164,miapa,demi apa
1165,miapah,demi apa
1166,misal'a,misalnya
1167,muup,maaf
1168,mu'uv,maaf
1169,mw,mau
1170,nak,anak
1171,naq,anak
1172,nax,anak
1173,nda,tidak
1174,ndak,tidak
1175,ndax,tidak
1176,ngabungin,menggabungkan
1177,ngajak,mengajak
1178,ngerokok,merokok
1179,ngga,tidak
1180,nggak,tidak
1181,nggax,tidak
1182,nggesek,menggesek
1183,nggosok,menggosok
1184,ngibul,berbohong
1185,nyokap,ibu
1186,nykap,ibu
1187,nykaps,ibu
1188,nykapz,ibu
1189,nykp,ibu
1190,nich,ini
1191,nntn,menonton
1192,ntn,menonton
1193,oc,oke
1194,oce,oke
1195,ohh,oh
1196,ok,oke
1197,okedech,oke
1198,okedeh,oke
1199,okeh,oke
1200,okz,oke
1201,org,orang
1202,ouch,oh
1203,ouh,oh
1204,owh,oh
1205,pasutri,pasangan suami istri
1206,paz,pas
1207,pengen,ingin
1208,pengin,ingin
1209,pgn,ingin
1210,psti,pasti
1211,pzt,pasti
1212,q,saya
1213,qaqa,kakak
1214,qq,kakak
1215,rmh,rumah
1216,sabeb,bebas
1217,sabi,bisa
1218,salfok,salah fokus
1219,saltum,salah kostum
1220,sdh,sudah
1221,selaw,santai
1222,selow,santai
1223,shap,siap
1224,shaps,siap
1225,syipp,sip
1226,syp,siapa
1227,tau,tahu
1228,tauk,tahu
1229,tdk,tidak
1230,telp,telepon
1231,tgl,tanggal
1232,thx,terima kasih
1233,tipi,televisi
1234,tp,tapi
1235,tq,terima kasih
1236,trims,terima kasih
1237,trimz,terima kasih
1238,tuch,itu
1239,tw,tahu
1240,u,kamu
1241,u,kamu
1242,udah,sudah
1243,udd,sudah
1244,udh,sudah
1245,uga,juga
1246,von,telepon
1247,w,saya
1248,wad,buat
1249,wat,buat
1250,yank,sayang
1251,yap,ya
1252,yaw,ya
1253,yoi,iya
1254,yups,ya
1255,yupz,ya
1256,woww,wow
1257,aminn,amin
1258,met,selamat
1259,netaas,menetas
1260,keberpa,keberapa
1261,eeeehhhh,eh
1262,kata2nyaaa,kata-katanya
1263,hallo,halo
1264,kaka,kakak
1265,ka,kak
1266,daah,dah
1267,aaaaahhhh,ah
1268,yaa,ya
1269,smga,semoga
1270,slalu,selalu
1271,amiin,amin
